,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
0,After We Fell,Romance,14Y.,G,https://www.cineman.ch/en/movie/2021/AfterWeFell/,20:50,2021-09-20,Arena Cinemas,Zürich,3.2,Arena Cinemas Zürich,47.3584599,8.5229214
1,Druk,Drama,14Y.,O/gf,https://www.cineman.ch/en/movie/2020/Druk/,20:50,2021-09-20,Kosmos,Zürich,4.2,Kosmos Zürich,47.3799807,8.5290807
2,Escape Room 2: no way out,"Horror, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2020/EscapeRoom2/,20:50,2021-09-20,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
3,Nomadland,Drama,12/6Y.,E/gf,https://www.cineman.ch/en/movie/2020/Nomadland/,20:50,2021-09-20,Kosmos,Zürich,3.9,Kosmos Zürich,47.3799807,8.5290807
4,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,G,https://www.cineman.ch/en/movie/2020/RidersofJustice/,20:50,2021-09-20,Arena Cinemas,Zürich,3.3,Arena Cinemas Zürich,47.3584599,8.5229214
5,The Forever Purge,"Action, Horror, Sci-fi, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2020/TheForeverPurge/,20:55,2021-09-20,Arena Cinemas,Zürich,3.1,Arena Cinemas Zürich,47.3584599,8.5229214
6,Bekenntnisse des Hochstaplers Felix Krull,Drama,12Y.,G,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,21:00,2021-09-20,Kosmos,Zürich,3.7,Kosmos Zürich,47.3799807,8.5290807
7,Don't Breathe 2,"Horror, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2021/DontBreathe2/,21:00,2021-09-20,Arena Cinemas,Zürich,2.4,Arena Cinemas Zürich,47.3584599,8.5229214
8,French Exit,Drama,14Y.,E/gf,https://www.cineman.ch/en/movie/2020/FrenchExit/,21:00,2021-09-20,Kosmos,Zürich,3.0,Kosmos Zürich,47.3799807,8.5290807
9,Heitere Fahne,Documentary,none,CH/e,https://www.cineman.ch/en/movie/2021/HeitereFahne/,21:00,2021-09-20,Riffraff,Zürich,not available,Riffraff Zürich,47.3827835,8.5290454
10,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/RidersofJustice/,21:00,2021-09-20,Riffraff,Zürich,3.3,Riffraff Zürich,47.3827835,8.5290454
11,The Organ Donor,Horror,18Y.,G,https://www.cineman.ch/en/movie/2020/SawIX/,21:00,2021-09-20,Arena Cinemas,Zürich,2.5,Arena Cinemas Zürich,47.3584599,8.5229214
12,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,21:00,2021-09-20,Houdini,Zürich,4.4,Houdini Zürich,47.3746074,8.5203069
