,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude,adult,id,original_title,popularity,video,overview
0,Réveil sur Mars,Documentary,16Y.,O/g,https://www.cineman.ch/en/movie/2020/WakeUpOnMars/,11:40,2021-09-24,Houdini,Zürich,not available,Houdini Zürich,47.3746074,8.5203069,,,,,,
1,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
2,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
3,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
4,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
5,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
6,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,600354.0,The Father,31.386,False,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
7,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,600354.0,The Father,31.386,False,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
8,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,600354.0,The Father,31.386,False,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
9,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069,False,600354.0,The Father,31.386,False,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
