,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
0,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,17:10,2021-09-19,Houdini,Zürich,4.3,Houdini Zürich,47.3746074,8.5203069
1,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,17:30,2021-09-19,Arena Cinemas,Zürich,4.3,Arena Cinemas Zürich,47.3584599,8.5229214
2,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,17:40,2021-09-19,Arena Cinemas,Zürich,4.3,Arena Cinemas Zürich,47.3584599,8.5229214
3,Fast & Furious 9,"Action, Adventure, Crime, Thriller",16/12Y.,G,https://www.cineman.ch/en/movie/2019/FastandFurious9/,17:10,2021-09-19,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
4,Fast & Furious 9,"Action, Adventure, Crime, Thriller",16/12Y.,G,https://www.cineman.ch/en/movie/2019/FastandFurious9/,17:15,2021-09-19,blue Cinema Abaton,Zürich,3.6,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
5,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:15,2021-09-19,blue Cinema Corso,Zürich,3.6,blue Cinema Corso Zürich,47.3663426,8.546733999999999
6,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:30,2021-09-19,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
7,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:50,2021-09-19,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
8,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:45,2021-09-19,blue Cinema Abaton,Zürich,3.6,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
9,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,G,https://www.cineman.ch/en/movie/2020/RidersofJustice/,17:15,2021-09-19,blue Cinema Abaton,Zürich,3.3,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
10,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:15,2021-09-19,blue Cinema Abaton,Zürich,4.0,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
11,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:30,2021-09-19,blue Cinema Abaton,Zürich,4.0,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
12,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:30,2021-09-19,blue Cinema Abaton,Zürich,4.0,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
13,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:15,2021-09-19,blue Cinema Corso,Zürich,4.0,blue Cinema Corso Zürich,47.3663426,8.546733999999999
14,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:25,2021-09-19,Arena Cinemas,Zürich,4.0,Arena Cinemas Zürich,47.3584599,8.5229214
15,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:50,2021-09-19,Arena Cinemas,Zürich,4.0,Arena Cinemas Zürich,47.3584599,8.5229214
16,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:30,2021-09-19,blue Cinema Capitol,Zürich,4.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
17,After We Fell,Romance,14Y.,G,https://www.cineman.ch/en/movie/2021/AfterWeFell/,17:30,2021-09-19,blue Cinema Abaton,Zürich,3.2,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
18,Cash Truck,"Action, Crime",16Y.,E/gf,https://www.cineman.ch/en/movie/2020/WrathOfMan/,17:30,2021-09-19,blue Cinema Corso,Zürich,3.7,blue Cinema Corso Zürich,47.3663426,8.546733999999999
19,Escape Room 2: no way out,"Horror, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2020/EscapeRoom2/,17:30,2021-09-19,blue Cinema Abaton,Zürich,3.6,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
20,Escape Room 2: no way out,"Horror, Thriller",16Y.,E/gf,https://www.cineman.ch/en/movie/2020/EscapeRoom2/,17:30,2021-09-19,blue Cinema Capitol,Zürich,3.6,blue Cinema Capitol Zürich,47.3778376,8.5441343
