,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
0,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,17:10,2021-09-23,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069
1,Fantoche: Best-of Fantoche 2021,,16Y.,O,https://www.cineman.ch/en/showtimes/cinema/riffraff-zurich/351/,17:10,2021-09-23,Riffraff,Zürich,,Riffraff Zürich,47.3827835,8.5290454
2,Fast & Furious 9,"Action, Adventure, Crime, Thriller",16/12Y.,G,https://www.cineman.ch/en/movie/2019/FastandFurious9/,17:10,2021-09-23,Arena Cinemas,Zürich,3.5,Arena Cinemas Zürich,47.3584599,8.5229214
3,Jungle Cruise,"Action, Adventure",14/12Y.,G,https://www.cineman.ch/en/movie/2019/JungleCruise/,17:10,2021-09-23,Arena Cinemas,Zürich,3.0,Arena Cinemas Zürich,47.3584599,8.5229214
4,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:20,2021-09-23,Arena Cinemas,Zürich,4.1,Arena Cinemas Zürich,47.3584599,8.5229214
5,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:50,2021-09-23,Arena Cinemas,Zürich,4.1,Arena Cinemas Zürich,47.3584599,8.5229214
6,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:30,2021-09-23,blue Cinema Capitol,Zürich,4.1,blue Cinema Capitol Zürich,47.3778376,8.5441343
7,Kaiserschmarrndrama,Crime,12Y.,G,https://www.cineman.ch/en/movie/2020/Kaiserschmarrndrama/,17:30,2021-09-23,blue Cinema Capitol,Zürich,3.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
8,Paw Patrol: The Movie,"Animation, Children",6Y.,G,https://www.cineman.ch/en/movie/2021/PAWPatrol/,17:30,2021-09-23,blue Cinema Capitol,Zürich,3.9,blue Cinema Capitol Zürich,47.3778376,8.5441343
9,Prisoner 760,Drama,16Y.,G,https://www.cineman.ch/en/movie/2021/Prisoner760/,17:40,2021-09-23,Arena Cinemas,Zürich,4.5,Arena Cinemas Zürich,47.3584599,8.5229214
