,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
0,Réveil sur Mars,Documentary,16Y.,O/g,https://www.cineman.ch/en/movie/2020/WakeUpOnMars/,11:40,2021-09-24,Houdini,Zürich,not available,Houdini Zürich,47.3746074,8.5203069
1,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,11:40,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069
2,Billie,"Documentary, Music",16/10Y.,E/g,https://www.cineman.ch/en/movie/2019/Billie/,11:50,2021-09-24,Houdini,Zürich,4.8,Houdini Zürich,47.3746074,8.5203069
3,La Fine Fleur,"Comedy, Drama",14/8Y.,G,https://www.cineman.ch/en/movie/2020/LaFineFleur/,12:00,2021-09-24,Houdini,Zürich,4.5,Houdini Zürich,47.3746074,8.5203069
4,Tiger und Büffel,Documentary,12Y.,O/g,https://www.cineman.ch/en/movie/2021/TigerUndBueffel/,12:00,2021-09-24,Houdini,Zürich,5.0,Houdini Zürich,47.3746074,8.5203069
5,Helmut Newton: The Bad and the Beautiful,,16Y.,O/g,https://www.cineman.ch/en/showtimes/cinema/arthouse-le-paris-zurich/338/,12:15,2021-09-24,Arthouse Le Paris,Zürich,,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
6,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,13:15,2021-09-24,blue Cinema Abaton,Zürich,4.3,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
7,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,13:30,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807
8,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,13:45,2021-09-24,blue Cinema Capitol,Zürich,4.3,blue Cinema Capitol Zürich,47.3778376,8.5441343
9,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,13:50,2021-09-24,Houdini,Zürich,4.3,Houdini Zürich,47.3746074,8.5203069
10,Raya and the Last Dragon,"Action, Adventure, Animation",6Y.,G,https://www.cineman.ch/en/movie/2020/RayaAndTheLastDragon/,13:30,2021-09-24,Houdini,Zürich,3.9,Houdini Zürich,47.3746074,8.5203069
11,El empleado y el patrón / The Employer and the Employee,,O,O,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,13:45,2021-09-24,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
12,Tom & Jerry,"Adventure, Animation, Children, Comedy",8/6Y.,G,https://www.cineman.ch/en/movie/2021/TomJerry/,13:50,2021-09-24,Arena Cinemas,Zürich,2.7,Arena Cinemas Zürich,47.3584599,8.5229214
13,Bigfoot Superstar,Animation,8Y.,G,https://www.cineman.ch/en/movie/2019/BigfootSuperstar/,14:00,2021-09-24,Stüssihof,Zürich,1.6,Stüssihof Zürich,47.3723239,8.5437701
14,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,14:00,2021-09-24,blue Cinema Metropol,Zürich,4.3,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
15,"Hilfe, ich habe meine Freunde geschrumpft",Children,6Y.,G,https://www.cineman.ch/en/movie/2020/HilfeIchHabeMeineFreundeGeschrumpft/,14:00,2021-09-24,blue Cinema Capitol,Zürich,5.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
16,Ostwind 5 - Der grosse Orkan,Children,6Y.,G,https://www.cineman.ch/en/movie/2020/Ostwind5DerGrosseOrkan/,14:00,2021-09-24,blue Cinema Capitol,Zürich,3.9,blue Cinema Capitol Zürich,47.3778376,8.5441343
17,Schachnovelle,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/Schachnovelle/,14:00,2021-09-24,Kosmos,Zürich,not available,Kosmos Zürich,47.3799807,8.5290807
18,Schachnovelle,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/Schachnovelle/,14:30,2021-09-24,blue Cinema Abaton,Zürich,not available,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
19,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:00,2021-09-24,blue Cinema Abaton,Zürich,4.1,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
20,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:30,2021-09-24,blue Cinema Abaton,Zürich,4.1,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
21,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:20,2021-09-24,Arena Cinemas,Zürich,4.1,Arena Cinemas Zürich,47.3584599,8.5229214
22,Space Jam: A New Legacy,"Animation, Comedy",10/8Y.,G,https://www.cineman.ch/en/movie/2021/SpaceJam2/,14:00,2021-09-24,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
23,Space Jam: A New Legacy,"Animation, Comedy",10/8Y.,G,https://www.cineman.ch/en/movie/2021/SpaceJam2/,14:15,2021-09-24,blue Cinema Abaton,Zürich,3.6,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
24,Tom & Jerry,"Adventure, Animation, Children, Comedy",8/6Y.,G,https://www.cineman.ch/en/movie/2021/TomJerry/,14:00,2021-09-24,blue Cinema Abaton,Zürich,2.7,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
25,Tom & Jerry,"Adventure, Animation, Children, Comedy",8/6Y.,G,https://www.cineman.ch/en/movie/2021/TomJerry/,14:15,2021-09-24,blue Cinema Abaton,Zürich,2.7,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
26,Vic the Viking and the Magic Sword,Animation,6Y.,G,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,14:00,2021-09-24,Houdini,Zürich,2.0,Houdini Zürich,47.3746074,8.5203069
27,Vic the Viking and the Magic Sword,Animation,6Y.,G,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,14:30,2021-09-24,blue Cinema Abaton,Zürich,2.0,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
28,Vic the Viking and the Magic Sword,Animation,6Y.,G,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,14:30,2021-09-24,blue Cinema Capitol,Zürich,2.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
29,Jungle Cruise,"Action, Adventure",14/12Y.,G,https://www.cineman.ch/en/movie/2019/JungleCruise/,14:10,2021-09-24,Arena Cinemas,Zürich,3.0,Arena Cinemas Zürich,47.3584599,8.5229214
30,"Chien pourri, la vie à Paris",Animation,6/0Y.,G,https://www.cineman.ch/en/movie/2020/ChienPourriLaVieAParis/,14:10,2021-09-24,Houdini,Zürich,not available,Houdini Zürich,47.3746074,8.5203069
