,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
31,Yakari - Grosse Stürme mit kleiner Donner,Animation,6/0Y.,G,https://www.cineman.ch/en/movie/2020/Yakari/,14:10,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069
32,L'uomo in piú,,I,I,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,14:15,2021-09-24,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
33,Paw Patrol: The Movie,"Animation, Children",6Y.,G,https://www.cineman.ch/en/movie/2021/PAWPatrol/,14:15,2021-09-24,blue Cinema Capitol,Zürich,3.9,blue Cinema Capitol Zürich,47.3778376,8.5441343
34,Paw Patrol: The Movie,"Animation, Children",6Y.,G,https://www.cineman.ch/en/movie/2021/PAWPatrol/,14:30,2021-09-24,blue Cinema Abaton,Zürich,3.9,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
35,Peter Rabbit 2: The Runaway,"Animation, Children",10/6Y.,G,https://www.cineman.ch/en/movie/2020/PeterRabbit2/,14:15,2021-09-24,blue Cinema Abaton,Zürich,3.3,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
36,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,https://www.cineman.ch/en/movie/2017/TheCroods2/,14:30,2021-09-24,blue Cinema Abaton,Zürich,3.9,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
37,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,https://www.cineman.ch/en/movie/2017/TheCroods2/,14:45,2021-09-24,blue Cinema Abaton,Zürich,3.9,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
38,Kaiserschmarrndrama,Crime,12Y.,G,https://www.cineman.ch/en/movie/2020/Kaiserschmarrndrama/,14:30,2021-09-24,blue Cinema Capitol,Zürich,3.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
39,Prisoner 760,Drama,16Y.,G,https://www.cineman.ch/en/movie/2021/Prisoner760/,14:30,2021-09-24,Arena Cinemas,Zürich,4.5,Arena Cinemas Zürich,47.3584599,8.5229214
40,Cash Truck,"Action, Crime",16Y.,G,https://www.cineman.ch/en/movie/2020/WrathOfMan/,14:45,2021-09-24,Arena Cinemas,Zürich,3.7,Arena Cinemas Zürich,47.3584599,8.5229214
41,Notturno,Documentary,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/Notturno/,15:00,2021-09-24,Riffraff,Zürich,not available,Riffraff Zürich,47.3827835,8.5290454
42,Old,"Mystery, Thriller",14Y.,G,https://www.cineman.ch/en/movie/2021/Old/,15:00,2021-09-24,Arena Cinemas,Zürich,2.4,Arena Cinemas Zürich,47.3584599,8.5229214
43,Paw Patrol: The Movie,"Animation, Children",6/4Y.,G,https://www.cineman.ch/en/movie/2021/PAWPatrol/,15:00,2021-09-24,Stüssihof,Zürich,3.9,Stüssihof Zürich,47.3723239,8.5437701
44,Monte Verità,Drama,14Y.,G,https://www.cineman.ch/en/movie/2021/MonteVerita/,15:10,2021-09-24,Arthouse Movie,Zürich,3.7,Arthouse Movie Zürich,47.3707036,8.5437007
45,Druk,Drama,14Y.,O/gf,https://www.cineman.ch/en/movie/2020/Druk/,15:30,2021-09-24,Riffraff,Zürich,4.0,Riffraff Zürich,47.3827835,8.5290454
46,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/RidersofJustice/,15:30,2021-09-24,Riffraff,Zürich,3.5,Riffraff Zürich,47.3827835,8.5290454
47,The Souvenir,,none,E,https://www.cineman.ch/en/showtimes/cinema/blue-cinema-corso-zurich/344/,15:30,2021-09-24,blue Cinema Corso,Zürich,,blue Cinema Corso Zürich,47.3663426,8.546733999999999
48,Casino Royale,"Action, Adventure, Thriller",none,E,https://www.cineman.ch/en/movie/2006/CasinoRoyale/,15:45,2021-09-24,Arena Cinemas,Zürich,4.0,Arena Cinemas Zürich,47.3584599,8.5229214
49,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/FreeGuy/,15:45,2021-09-24,Arena Cinemas,Zürich,3.7,Arena Cinemas Zürich,47.3584599,8.5229214
50,La hija / The Daughter,,none,O,https://www.cineman.ch/en/showtimes/cinema/blue-cinema-corso-zurich/344/,15:45,2021-09-24,blue Cinema Corso,Zürich,,blue Cinema Corso Zürich,47.3663426,8.546733999999999
51,Schachnovelle,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/Schachnovelle/,15:45,2021-09-24,Arthouse Movie,Zürich,not available,Arthouse Movie Zürich,47.3707036,8.5437007
52,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,https://www.cineman.ch/en/movie/2017/TheCroods2/,15:50,2021-09-24,Houdini,Zürich,3.9,Houdini Zürich,47.3746074,8.5203069
53,Space Jam: A New Legacy,"Animation, Comedy",10/8Y.,E/gf,https://www.cineman.ch/en/movie/2021/SpaceJam2/,15:55,2021-09-24,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
54,A Cop Movie,,O,O,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,16:00,2021-09-24,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
55,Chungking Express,,16Y.,O/g,https://www.cineman.ch/en/showtimes/cinema/arthouse-uto-zurich/335/,16:00,2021-09-24,Arthouse Uto,Zürich,,Arthouse Uto Zürich,47.3741858,8.5213039
56,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:00,2021-09-24,blue Cinema Metropol,Zürich,4.3,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
57,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:30,2021-09-24,blue Cinema Capitol,Zürich,4.3,blue Cinema Capitol Zürich,47.3778376,8.5441343
58,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:30,2021-09-24,Arena Cinemas,Zürich,4.3,Arena Cinemas Zürich,47.3584599,8.5229214
59,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,16:45,2021-09-24,Arena Cinemas,Zürich,4.3,Arena Cinemas Zürich,47.3584599,8.5229214
60,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807
61,Life of Ivanna,,none,O/gf,https://www.cineman.ch/en/showtimes/cinema/arthouse-piccadilly-zurich/353/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,,Arthouse Piccadilly Zürich,47.365993,8.5489046
62,Monte Verità,Drama,14Y.,G/e,https://www.cineman.ch/en/movie/2021/MonteVerita/,16:00,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069
63,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046
64,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:20,2021-09-24,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069
65,Die Pazifistin - Gertrud Woker: Eine vergessene Heldin,Documentary,12Y.,G,https://www.cineman.ch/en/movie/2021/DiePazifistinGertrudWoker/,16:10,2021-09-24,Arthouse Alba,Zürich,3.7,Arthouse Alba Zürich,47.3761085,8.544658199999999
66,Chiamami ancora amore / Ever After,,I/e,I/e,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,16:15,2021-09-24,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
67,Gaza mon amour,"Comedy, Drama, Romance",16/12Y.,O/gf,https://www.cineman.ch/en/movie/2020/Apollo/,16:20,2021-09-24,Houdini,Zürich,not available,Houdini Zürich,47.3746074,8.5203069
68,Nomadland,Drama,12/6Y.,E/gf,https://www.cineman.ch/en/movie/2020/Nomadland/,16:20,2021-09-24,Riffraff,Zürich,3.9,Riffraff Zürich,47.3827835,8.5290454
69,Drifting,,O/e,O/e,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,16:30,2021-09-24,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
70,Soy Libre (2021),,none,O,https://www.cineman.ch/en/showtimes/cinema/filmpodium-zurich/421/,16:30,2021-09-24,Filmpodium,Zürich,,Filmpodium Zürich,47.3715739,8.536824700000002
71,Paw Patrol: The Movie,"Animation, Children",6Y.,G,https://www.cineman.ch/en/movie/2021/PAWPatrol/,16:45,2021-09-24,blue Cinema Abaton,Zürich,3.9,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
72,Bekenntnisse des Hochstaplers Felix Krull,Drama,12Y.,G,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,17:00,2021-09-24,blue Cinema Capitol,Zürich,4.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
73,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,17:00,2021-09-24,blue Cinema Abaton,Zürich,4.3,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
74,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,17:00,2021-09-24,blue Cinema Abaton,Zürich,4.3,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
75,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,17:15,2021-09-24,blue Cinema Abaton,Zürich,4.3,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
76,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,17:00,2021-09-24,Arena Cinemas,Zürich,4.3,Arena Cinemas Zürich,47.3584599,8.5229214
77,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,17:10,2021-09-24,Houdini,Zürich,4.3,Houdini Zürich,47.3746074,8.5203069
78,Generation Beziehungsunfähig,Comedy,12Y.,G,https://www.cineman.ch/en/movie/2021/GenerationBeziehungsunfaehig/,17:00,2021-09-24,blue Cinema Capitol,Zürich,2.3,blue Cinema Capitol Zürich,47.3778376,8.5441343
79,Fantoche: Best-of Fantoche 2021,,16Y.,O,https://www.cineman.ch/en/showtimes/cinema/riffraff-zurich/351/,17:10,2021-09-24,Riffraff,Zürich,,Riffraff Zürich,47.3827835,8.5290454
80,Fast & Furious 9,"Action, Adventure, Crime, Thriller",16/12Y.,G,https://www.cineman.ch/en/movie/2019/FastandFurious9/,17:10,2021-09-24,Arena Cinemas,Zürich,3.5,Arena Cinemas Zürich,47.3584599,8.5229214
81,Fast & Furious 9,"Action, Adventure, Crime, Thriller",16/12Y.,G,https://www.cineman.ch/en/movie/2019/FastandFurious9/,17:15,2021-09-24,blue Cinema Abaton,Zürich,3.5,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
82,Jungle Cruise,"Action, Adventure",14/12Y.,G,https://www.cineman.ch/en/movie/2019/JungleCruise/,17:10,2021-09-24,Arena Cinemas,Zürich,3.0,Arena Cinemas Zürich,47.3584599,8.5229214
83,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:15,2021-09-24,blue Cinema Abaton,Zürich,3.7,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
84,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:45,2021-09-24,blue Cinema Abaton,Zürich,3.7,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
85,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:50,2021-09-24,Arena Cinemas,Zürich,3.7,Arena Cinemas Zürich,47.3584599,8.5229214
86,Free Guy,"Action, Adventure, Comedy, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/FreeGuy/,17:55,2021-09-24,Arena Cinemas,Zürich,3.7,Arena Cinemas Zürich,47.3584599,8.5229214
87,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:15,2021-09-24,blue Cinema Abaton,Zürich,4.1,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
88,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:30,2021-09-24,blue Cinema Abaton,Zürich,4.1,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
89,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:20,2021-09-24,Arena Cinemas,Zürich,4.1,Arena Cinemas Zürich,47.3584599,8.5229214
90,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:50,2021-09-24,Arena Cinemas,Zürich,4.1,Arena Cinemas Zürich,47.3584599,8.5229214
91,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,E/gf,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,17:30,2021-09-24,blue Cinema Capitol,Zürich,4.1,blue Cinema Capitol Zürich,47.3778376,8.5441343
92,Kaiserschmarrndrama,Crime,12Y.,G,https://www.cineman.ch/en/movie/2020/Kaiserschmarrndrama/,17:30,2021-09-24,blue Cinema Capitol,Zürich,3.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
93,The Hitman's Wife's Bodyguard,"Action, Comedy, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2020/TheHitmansWifesBodyguard/,17:30,2021-09-24,blue Cinema Abaton,Zürich,3.5,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
94,Paw Patrol: The Movie,"Animation, Children",6Y.,G,https://www.cineman.ch/en/movie/2021/PAWPatrol/,17:30,2021-09-24,blue Cinema Capitol,Zürich,3.9,blue Cinema Capitol Zürich,47.3778376,8.5441343
95,Prisoner 760,Drama,16Y.,G,https://www.cineman.ch/en/movie/2021/Prisoner760/,17:40,2021-09-24,Arena Cinemas,Zürich,4.5,Arena Cinemas Zürich,47.3584599,8.5229214
96,After We Fell,Romance,14Y.,G,https://www.cineman.ch/en/movie/2021/AfterWeFell/,17:45,2021-09-24,blue Cinema Abaton,Zürich,3.2,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
97,Schachnovelle,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/Schachnovelle/,17:45,2021-09-24,blue Cinema Abaton,Zürich,not available,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
98,Schachnovelle,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/Schachnovelle/,17:50,2021-09-24,Arthouse Movie,Zürich,not available,Arthouse Movie Zürich,47.3707036,8.5437007
99,Bekenntnisse des Hochstaplers Felix Krull,Drama,12Y.,G,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,18:00,2021-09-24,Stüssihof,Zürich,4.0,Stüssihof Zürich,47.3723239,8.5437701
100,Blue Bayou,,none,O/ge,https://www.cineman.ch/en/showtimes/cinema/arena-cinemas-zurich/779/,18:00,2021-09-24,Arena Cinemas,Zürich,,Arena Cinemas Zürich,47.3584599,8.5229214
101,Druk,Drama,14Y.,O/gf,https://www.cineman.ch/en/movie/2020/Druk/,18:00,2021-09-24,Riffraff,Zürich,4.0,Riffraff Zürich,47.3827835,8.5290454
102,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,18:00,2021-09-24,blue Cinema Metropol,Zürich,4.3,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
103,Ghost in the Shell,"Action, Crime, Drama, Mystery, Sci-fi, Thriller",14Y.,O/g,https://www.cineman.ch/en/movie/2017/GhostInTheShell/,18:00,2021-09-24,Xenix,Zürich,3.7,Xenix Zürich,47.37528529999999,8.5261529
104,Ninjababy,"Comedy, Drama",O/ge,O/ge,https://www.cineman.ch/en/movie/2021/Ninjababy/,18:00,2021-09-24,Kosmos,Zürich,not available,Kosmos Zürich,47.3799807,8.5290807
105,Old,"Mystery, Thriller",14Y.,G,https://www.cineman.ch/en/movie/2021/Old/,18:00,2021-09-24,Arena Cinemas,Zürich,2.4,Arena Cinemas Zürich,47.3584599,8.5229214
106,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/RidersofJustice/,18:00,2021-09-24,Arthouse Alba,Zürich,3.5,Arthouse Alba Zürich,47.3761085,8.544658199999999
107,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/RidersofJustice/,18:00,2021-09-24,Riffraff,Zürich,3.5,Riffraff Zürich,47.3827835,8.5290454
108,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,G,https://www.cineman.ch/en/movie/2020/RidersofJustice/,18:20,2021-09-24,Arena Cinemas,Zürich,3.5,Arena Cinemas Zürich,47.3584599,8.5229214
109,Billie,"Documentary, Music",16/10Y.,E/gf,https://www.cineman.ch/en/movie/2019/Billie/,18:10,2021-09-24,Arthouse Piccadilly,Zürich,4.8,Arthouse Piccadilly Zürich,47.365993,8.5489046
110,Cash Truck,"Action, Crime",16Y.,G,https://www.cineman.ch/en/movie/2020/WrathOfMan/,18:10,2021-09-24,Arena Cinemas,Zürich,3.7,Arena Cinemas Zürich,47.3584599,8.5229214
111,Réveil sur Mars,Documentary,16Y.,O/g,https://www.cineman.ch/en/movie/2020/WakeUpOnMars/,18:10,2021-09-24,Houdini,Zürich,not available,Houdini Zürich,47.3746074,8.5203069
112,Ali & Ava,,none,E/g,https://www.cineman.ch/en/showtimes/cinema/arthouse-le-paris-zurich/338/,18:15,2021-09-24,Arthouse Le Paris,Zürich,,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
113,In the Mood for Love,,16Y.,O/g,https://www.cineman.ch/en/movie/2000/InTheMoodForLove/,18:15,2021-09-24,Arthouse Uto,Zürich,4.2,Arthouse Uto Zürich,47.3741858,8.5213039
114,Mass,,none,E/g,https://www.cineman.ch/en/showtimes/cinema/blue-cinema-corso-zurich/344/,18:15,2021-09-24,blue Cinema Corso,Zürich,,blue Cinema Corso Zürich,47.3663426,8.546733999999999
115,After We Fell,Romance,14Y.,G,https://www.cineman.ch/en/movie/2021/AfterWeFell/,18:20,2021-09-24,Arena Cinemas,Zürich,3.2,Arena Cinemas Zürich,47.3584599,8.5229214
116,Felkészülés meghatározatlan ideig tartó együttlétre,Drama,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/FelkeszuelesMeghatarozatlanIdeigTartoEgyuettletre/,18:20,2021-09-24,Arthouse Movie,Zürich,4.0,Arthouse Movie Zürich,47.3707036,8.5437007
117,Beyond the White,,O/ge,O/ge,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,18:30,2021-09-24,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
118,Monte Verità,Drama,14Y.,G/e,https://www.cineman.ch/en/movie/2021/MonteVerita/,18:30,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069
119,Ouistreham,,none,O/e,https://www.cineman.ch/en/showtimes/cinema/blue-cinema-corso-zurich/344/,18:30,2021-09-24,blue Cinema Corso,Zürich,,blue Cinema Corso Zürich,47.3663426,8.546733999999999
120,The Dilemma of Desire,,none,E,https://www.cineman.ch/en/showtimes/cinema/arena-cinemas-zurich/779/,18:30,2021-09-24,Arena Cinemas,Zürich,,Arena Cinemas Zürich,47.3584599,8.5229214
