,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
54,Supernova,Drama,14Y.,G,https://www.cineman.ch/en/movie/2021/Supernova/,20:45,2021-10-10,Arena Cinemas,Zürich,3.8,Arena Cinemas Zürich,47.3584599,8.5229214
55,Supernova,Drama,14Y.,E/gf,https://www.cineman.ch/en/movie/2021/Supernova/,20:55,2021-10-10,Arena Cinemas,Zürich,3.8,Arena Cinemas Zürich,47.3584599,8.5229214
56,Riders of Justice - Helden der Wahrscheinlichkeit,,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/RidersofJustice/,20:20,2021-10-10,Arthouse Alba,Zürich,3.3,Arthouse Alba Zürich,47.3761085,8.544658199999999
57,Bad Luck Banging or Loony Porn,"Comedy, Drama",18Y.,O/gf,https://www.cineman.ch/en/movie/2021/BabardealaCuBuclucSauPornoBalamuc/,20:30,2021-10-10,Arthouse Piccadilly,Zürich,3.7,Arthouse Piccadilly Zürich,47.365993,8.5489046
58,Bekenntnisse des Hochstaplers Felix Krull,Drama,12Y.,G,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,20:30,2021-10-10,blue Cinema Capitol,Zürich,4.0,blue Cinema Capitol Zürich,47.3778376,8.5441343
59,Hive,Drama,12Y.,O/ge,https://www.cineman.ch/en/movie/2021/Hive/,20:30,2021-10-10,Riffraff,Zürich,5.0,Riffraff Zürich,47.3827835,8.5290454
60,Schachnovelle,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/Schachnovelle/,20:30,2021-10-10,Arthouse Movie,Zürich,4.1,Arthouse Movie Zürich,47.3707036,8.5437007
61,Toma,"Drama, Music, History",16/14Y.,O/g,https://www.cineman.ch/en/movie/2021/Toma/,20:30,2021-10-10,Riffraff,Zürich,5.0,Riffraff Zürich,47.3827835,8.5290454
62,After We Fell,Romance,14Y.,G,https://www.cineman.ch/en/movie/2021/AfterWeFell/,20:40,2021-10-10,Arena Cinemas,Zürich,3.3,Arena Cinemas Zürich,47.3584599,8.5229214
63,Cash Truck,"Action, Crime",16Y.,G,https://www.cineman.ch/en/movie/2020/WrathOfMan/,20:40,2021-10-10,Arena Cinemas,Zürich,3.7,Arena Cinemas Zürich,47.3584599,8.5229214
64,Je suis Karl,Drama,12Y.,G,https://www.cineman.ch/en/movie/2021/JeSuisKarl/,20:40,2021-10-10,Kosmos,Zürich,4.0,Kosmos Zürich,47.3799807,8.5290807
65,Proxima,Drama,12/8Y.,F/ge,https://www.cineman.ch/en/movie/2019/Proxima/,20:45,2021-10-10,Xenix,Zürich,3.0,Xenix Zürich,47.37528529999999,8.5261529
66,a-ha: The Movie,"Documentary, Music",14/10Y.,O/g,https://www.cineman.ch/en/movie/2021/AhaTheMovie/,20:50,2021-10-10,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
67,Bigger Than Us,Documentary,10Y.,E/g,https://www.cineman.ch/en/movie/2002/BiggerThanUs/,20:50,2021-10-10,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
68,Titane,"Mystery, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2021/Titane/,20:50,2021-10-10,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
69,Escape Room 2: no way out,"Horror, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2020/EscapeRoom2/,20:55,2021-10-10,Arena Cinemas,Zürich,3.6,Arena Cinemas Zürich,47.3584599,8.5229214
70,Azor,,16Y.,O/ge,https://www.cineman.ch/en/movie/2021/Azor/,21:00,2021-10-10,Houdini,Zürich,,Houdini Zürich,47.3746074,8.5203069
71,Don't Breathe 2,"Horror, Thriller",16Y.,G,https://www.cineman.ch/en/movie/2021/DontBreathe2/,21:00,2021-10-10,Arena Cinemas,Zürich,2.4,Arena Cinemas Zürich,47.3584599,8.5229214
72,Scary Mother,,unknown,O/e,https://www.cineman.ch/en/showtimes/cinema/filmpodium-zurich/421/,21:00,2021-10-10,Filmpodium,Zürich,,Filmpodium Zürich,47.3715739,8.536824700000002
73,Supernova,Drama,14Y.,E/gf,https://www.cineman.ch/en/movie/2021/Supernova/,21:00,2021-10-10,Kosmos,Zürich,3.8,Kosmos Zürich,47.3799807,8.5290807
74,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,21:00,2021-10-10,Houdini,Zürich,4.1,Houdini Zürich,47.3746074,8.5203069
75,The Man Who Sold His Skin,,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/TheManWhoSoldHisSkin/,21:00,2021-10-10,Riffraff,Zürich,,Riffraff Zürich,47.3827835,8.5290454
76,Titane,"Mystery, Thriller",16Y.,F/g,https://www.cineman.ch/en/movie/2021/Titane/,21:00,2021-10-10,Riffraff,Zürich,3.6,Riffraff Zürich,47.3827835,8.5290454
