,movie,genre,cinema,place,movie_link,showtime,age_limit,language,rating
219,Druk,Drama,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/Druk/,20:50,Reservation,O/gf,4.2
220,Escape Room 2: no way out,"Horror, Thriller",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/EscapeRoom2/,20:50,16Y.,G,3.6
221,The Forever Purge,"Action, Horror, Sci-fi, Thriller",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/TheForeverPurge/,20:55,16Y.,G,3.1
222,Bekenntnisse des Hochstaplers Felix Krull,Drama,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,21:00,Reservation,G,3.7
223,Don't Breathe 2,"Horror, Thriller",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/DontBreathe2/,21:00,16Y.,G,2.4
224,Fantoche: Best-of Fantoche 2021,,Riffraff,Zürich,https://www.cineman.ch/en/showtimes/cinema/riffraff-zurich/351/,21:00,16Y.,O,
225,French Exit,Drama,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/FrenchExit/,21:00,Reservation,E/gf,3.0
226,Riders of Justice - Helden der Wahrscheinlichkeit,,Riffraff,Zürich,https://www.cineman.ch/en/movie/2020/RidersofJustice/,21:00,16Y.,O/gf,3.3
227,The Organ Donor,Horror,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/SawIX/,21:00,18Y.,G,2.5
228,The Father,Drama,Houdini,Zürich,https://www.cineman.ch/en/movie/2020/TheFather/,21:00,14/12Y.,E/gf,4.4
