,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
0,Tiger und Büffel,Documentary,12Y.,O/g,11:40,2021-11-09,Houdini,Zürich,2021-11-09 11:40:00,Houdini Zürich,47.3746074,8.5203069
1,Wild,Documentary,12Y.,O/g,11:40,2021-11-09,Houdini,Zürich,2021-11-09 11:40:00,Houdini Zürich,47.3746074,8.5203069
2,Azor,,16Y.,O/ge,11:50,2021-11-09,Houdini,Zürich,2021-11-09 11:50:00,Houdini Zürich,47.3746074,8.5203069
3,"Quo Vadis, Aida?","Drama, War",14/12Y.,O/gf,12:00,2021-11-09,Houdini,Zürich,2021-11-09 12:00:00,Houdini Zürich,47.3746074,8.5203069
4,The Story of My Wife,"Drama, Romance",12Y.,E/g,12:00,2021-11-09,Houdini,Zürich,2021-11-09 12:00:00,Houdini Zürich,47.3746074,8.5203069
5,The Truffle Hunters,Documentary,10/6Y.,I/gf,12:15,2021-11-09,Arthouse Le Paris,Zürich,2021-11-09 12:15:00,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
6,"Hilfe, ich habe meine Freunde geschrumpft",Children,6/4Y.,G,13:10,2021-11-09,Kosmos,Zürich,2021-11-09 13:10:00,Kosmos Zürich,47.3799807,8.5290807
7,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,13:10,2021-11-09,Kosmos,Zürich,2021-11-09 13:10:00,Kosmos Zürich,47.3799807,8.5290807
8,Badenfahrt - Fest vereint,Documentary,8/0Y.,CH/g,13:30,2021-11-09,Stüssihof,Zürich,2021-11-09 13:30:00,Stüssihof Zürich,47.3723239,8.5437701
9,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,13:30,2021-11-09,Kosmos,Zürich,2021-11-09 13:30:00,Kosmos Zürich,47.3799807,8.5290807
10,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,13:40,2021-11-09,Arena Cinemas,Zürich,2021-11-09 13:40:00,Arena Cinemas Zürich,47.3584227,8.5226872
11,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,13:50,2021-11-09,Arena Cinemas,Zürich,2021-11-09 13:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
12,Harald Naegeli - Der Sprayer von Zürich,Documentary,12Y.,O/g,13:30,2021-11-09,Riffraff,Zürich,2021-11-09 13:30:00,Riffraff Zürich,47.3827835,8.5290454
13,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:45,2021-11-09,blue Cinema Capitol,Zürich,2021-11-09 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
14,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,13:45,2021-11-09,blue Cinema Capitol,Zürich,2021-11-09 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
