,adult,id,original_title,popularity,video,tagline,overview,genres_string
0,False,746732,Miraggio,0.6,False,,"Mali - Algeria - Libya - Italy. Issa’s escape from West Africa to the European mainland lasted ten years. Everything was supposed to be better here. But when he arrived in Rome, the only thing waiting for the young man was a life of homelessness and unemployment – which meant no money to send home. Drissa and Sekou share a similar fate, waiting in Italian asylum centres for a residence permit. Then there’s Bubu, who, forced to move from job to job, is unable to settle down. And lastly comes Alassane, who lives without identity papers in a state of constant uncertainty in a refugee camp near Rome. They all have one thing in common: after a gruelling odyssey, none of them has found the Italy they were hoping for when they arrived. Disillusioned, they find themselves in a vacuum of waiting, reflecting on the time they live in and the time that lies ahead.",Documentary
1,False,766798,Madres paralelas,110.949,False,,"Two unmarried women who have become pregnant by accident and are about to give birth meet in a hospital room: Janis, middle-aged, unrepentant and happy; Ana, a teenager, remorseful and frightened.",Drama
2,False,608232,Tove,2.428,False,In search of freedom and desire,"Helsinki, 1945. The end of the war brings a new sense of artistic and social freedom for painter Tove Jansson. While focusing her artistic dreams on painting, the enchanting tales of the ‘Moomin’ creatures she told to scared children in bomb shelters, rapidly take on a life of their own, bringing international fame.",Drama
3,False,624860,The Matrix Resurrections,1059.312,False,Return to the source.,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",Adventure Action Science Fiction Thriller
4,False,763553,Apenas el sol,0.84,False,,"Facing the consequences of a violent uprooting, Mateo Sobode Chiqueno has been recording stories, songs, and testimonies of his Ayoreo people since the seventies. In an attempt to preserve fragments of a disappearing culture, Mateo walks across communities in the arid and desolate Paraguayan Chaco region, and registers on cassettes the experiences of other Ayoreo who, like him, were born in the vast forest, free and nomadic, without any contact with white civilization, until religious missionaries forced them to abandon their ancestral territory, their means of subsistence, their beliefs and their home.",Documentary
5,False,712152,Un triomphe,4.255,False,,"Etienne, an often out of work but endearing actor, runs a theater workshop in a prison, where he brings  together an unlikely troupe of prisoners to stage Samuel Beckett’s famous play Waiting for Godot. When he is allowed to take the colorful band of convicts on a tour outside of prison, Etienne finally has the chance to thrive.",Comedy Drama
6,False,606876,Rifkin's Festival,11.836,False,,"The story of a married American couple who go to the San Sebastian Film Festival. They get caught up in the magic of the festival, the beauty and charm of Spain and the fantasy of movies. She has an affair with a brilliant French movie director, and he falls in love with a beautiful Spanish woman who lives there.",Romance Comedy
7,False,644495,House of Gucci,227.963,False,A legacy worth killing for.,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately…murder.",Drama Crime Thriller
8,False,634649,Spider-Man: No Way Home,20686.826,False,The Multiverse unleashed.,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",Action Adventure Science Fiction
9,False,793937,Die Schule der magischen Tiere,3.531,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator.",Adventure Family
