,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
0,Stürm: Bis wir tot sind oder frei,"Crime, Drama",14Y.,CH/e,15:30,2021-11-28,Riffraff,Zürich,2021-11-28 15:30:00,Riffraff Zürich,47.3827835,8.5290454
1,Und morgen seid ihr tot,Drama,14/12Y.,CH/g,15:30,2021-11-28,Kosmos,Zürich,2021-11-28 15:30:00,Kosmos Zürich,47.3799807,8.5290807
2,Und morgen seid ihr tot,Drama,14/12Y.,O/gf,15:40,2021-11-28,Arthouse Alba,Zürich,2021-11-28 15:40:00,Arthouse Alba Zürich,47.3761275,8.5446618
3,Harald Naegeli - Der Sprayer von Zürich,Documentary,12Y.,O/g,15:40,2021-11-28,Arthouse Piccadilly,Zürich,2021-11-28 15:40:00,Arthouse Piccadilly Zürich,47.365993,8.5489046
4,Encanto,"Adventure, Animation, Children, Comedy, Fantasy, Music",3Y.,G,15:45,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:45:00,Arena Cinemas Zürich,47.3584227,8.5226872
5,Die Schule der magischen Tiere,"Adventure, Children",3Y.,G,15:50,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
6,Eiffel,"Drama, History",12/10Y.,F/g,15:50,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
7,Ghostbusters: Afterlife,"Action, Comedy, Fantasy",12/10Y.,G,15:50,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
8,Le discours,Comedy,16/12Y.,F/g,15:50,2021-11-28,Arthouse Uto,Zürich,2021-11-28 15:50:00,Arthouse Uto Zürich,47.3741858,8.5213039
9,Schachnovelle,Drama,12Y.,G,15:50,2021-11-28,Arthouse Movie,Zürich,2021-11-28 15:50:00,Arthouse Movie Zürich,47.3707036,8.5437007
10,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,15:55,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:55:00,Arena Cinemas Zürich,47.3584227,8.5226872
11,Resident Evil: Welcome to Raccoon City,"Action, Horror, Mystery, Sci-fi",16Y.,G,15:55,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:55:00,Arena Cinemas Zürich,47.3584227,8.5226872
12,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,15:55,2021-11-28,Arena Cinemas,Zürich,2021-11-28 15:55:00,Arena Cinemas Zürich,47.3584227,8.5226872
13,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,16:00,2021-11-28,Arena Cinemas,Zürich,2021-11-28 16:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
14,Contra,Comedy,12Y.,G,16:00,2021-11-28,Houdini,Zürich,2021-11-28 16:00:00,Houdini Zürich,47.3746073,8.5203069
15,The Addams Family 2,"Animation, Children, Comedy",10/8Y.,G,16:00,2021-11-28,ABC,Bülach,2021-11-28 16:00:00,ABC Bülach,47.5205284,8.541034999999999
16,The Addams Family 2,"Animation, Children, Comedy",10/8Y.,G,16:00,2021-11-28,Arena Cinemas,Zürich,2021-11-28 16:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
17,Jazz On A Summer's Day,,unknown,E/g,16:00,2021-11-28,Kinocenter,Chur,2021-11-28 16:00:00,Kinocenter Chur,46.8520733,9.533791599999999
