,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
0,Tiger und Büffel,Documentary,12Y.,O/g,11:40,2021-10-29,Houdini,Zürich,2021-10-29 11:40:00,Houdini Zürich,47.3746074,8.5203069
1,Wild,Documentary,12Y.,O/g,11:40,2021-10-29,Houdini,Zürich,2021-10-29 11:40:00,Houdini Zürich,47.3746074,8.5203069
2,Azor,,16Y.,O/ge,11:50,2021-10-29,Houdini,Zürich,2021-10-29 11:50:00,Houdini Zürich,47.3746074,8.5203069
3,"Quo Vadis, Aida?","Drama, War",14/12Y.,O/gf,12:00,2021-10-29,Houdini,Zürich,2021-10-29 12:00:00,Houdini Zürich,47.3746074,8.5203069
4,The Story of My Wife,"Drama, Romance",12Y.,E/g,12:00,2021-10-29,Houdini,Zürich,2021-10-29 12:00:00,Houdini Zürich,47.3746074,8.5203069
5,Petite maman,"Drama, Fantasy",10/6Y.,F/g,12:15,2021-10-29,Arthouse Le Paris,Zürich,2021-10-29 12:15:00,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
6,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,13:10,2021-10-29,Kosmos,Zürich,2021-10-29 13:10:00,Kosmos Zürich,47.3799807,8.5290807
7,Und morgen seid ihr tot,Drama,14/12Y.,CH/g,13:10,2021-10-29,Kosmos,Zürich,2021-10-29 13:10:00,Kosmos Zürich,47.3799807,8.5290807
8,Und morgen seid ihr tot,Drama,14/12Y.,CH/g,13:45,2021-10-29,blue Cinema Capitol,Zürich,2021-10-29 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
9,"Hilfe, ich habe meine Freunde geschrumpft",Children,6/4Y.,G,13:20,2021-10-29,Kosmos,Zürich,2021-10-29 13:20:00,Kosmos Zürich,47.3799807,8.5290807
10,Der Meienberg,Documentary,16/0Y.,G,13:30,2021-10-29,Stüssihof,Zürich,2021-10-29 13:30:00,Stüssihof Zürich,47.3723239,8.5437701
11,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:30,2021-10-29,Kosmos,Zürich,2021-10-29 13:30:00,Kosmos Zürich,47.3799807,8.5290807
12,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:30,2021-10-29,Kosmos,Zürich,2021-10-29 13:30:00,Kosmos Zürich,47.3799807,8.5290807
13,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:45,2021-10-29,blue Cinema Capitol,Zürich,2021-10-29 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
14,No Time to Die,"Action, Adventure, Thriller",14Y.,G,13:50,2021-10-29,Arena Cinemas,Zürich,2021-10-29 13:50:00,Arena Cinemas Zürich,47.3584599,8.5229214
15,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,13:30,2021-10-29,Arena Cinemas,Zürich,2021-10-29 13:30:00,Arena Cinemas Zürich,47.3584599,8.5229214
16,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,13:45,2021-10-29,blue Cinema Capitol,Zürich,2021-10-29 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
17,Tom & Jerry,"Adventure, Animation, Children, Comedy",8/6Y.,G,13:45,2021-10-29,Arena Cinemas,Zürich,2021-10-29 13:45:00,Arena Cinemas Zürich,47.3584599,8.5229214
