,adult,id,original_title,popularity,video,tagline,overview,genres_string
0,False,228970,Wild,12.635,False,,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,Drama
1,False,659954,Azor,239.431,False,,"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization.",Drama
2,False,728118,"Quo Vadis, Aida?",7.329,False,,"Bosnia, July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take?",Drama War
3,False,749004,Petite maman,6.818,False,,"Eight-year-old Nelly has just lost her beloved grandmother and is helping her parents clean out her mother’s childhood home. She explores the house and the surrounding woods where her mum, Marion, used to play and where she built the treehouse Nelly has heard so much about. One day her mother suddenly leaves. That is when Nelly meets a girl of her own age in the woods, building a treehouse.",Drama Fantasy
4,False,542178,The French Dispatch,61.379,False,,"The staff of a European publication decides to publish a memorial edition highlighting the three best stories from the last decade: an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",Comedy Drama
5,False,846964,Und morgen seid ihr tot,4.404,False,,In 2011 the young married Swiss couple Daniela Widmer and David Och got kidnapped while being on a long trip along the old Silk Road in Pakistan. They were hand over to the Taliban and were held as hostages for 8 months under the most precarious conditions.,Drama Thriller
6,False,793937,Die Schule der magischen Tiere,4.686,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator.",Adventure Family
7,False,370172,No Time to Die,469.759,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Adventure Action Thriller
8,False,580489,Venom: Let There Be Carnage,6121.117,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Science Fiction Action
9,False,438631,Dune,4893.62,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Action Adventure Drama Science Fiction
