,movie,genre,age_limit,language,showtime,date,cinema,place,cinema_place,latitude,longitude
162,Cry Macho,"Drama, Western",12Y.,E/gf,20:00,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
163,Cry Macho,"Drama, Western",12Y.,E/gf,20:25,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
164,Cry Macho,"Drama, Western",12Y.,G,20:30,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
165,Cry Macho,"Drama, Western",12Y.,E/gf,20:45,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
166,Cry Macho,"Drama, Western",12Y.,E/gf,20:50,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
167,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:00,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
168,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:00,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
169,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:30,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
170,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:30,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
171,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
172,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,20:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
173,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:30,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
174,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:40,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
175,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:00,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
176,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:00,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
177,No Time to Die,"Action, Adventure, Thriller",14Y.,G,20:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
178,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:30,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
179,No Time to Die,"Action, Adventure, Thriller",14Y.,G,20:30,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
180,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
181,No Time to Die,"Action, Adventure, Thriller",14Y.,G,20:15,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
182,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:20,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
