,adult,id,original_title,popularity,video,tagline,overview
0,False,842349,Bigger Than Us,1.669,False,,
1,False,728118,"Quo Vadis, Aida?",9.312,False,,"Bosnia, July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take?"
2,False,228970,Wild,8.362,False,,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.
3,False,846980,Harald Naegeli - Der Sprayer von Zürich,1.553,False,,"The Swiss artist Harald Naegeli became known around the world as the “Sprayer of Zurich” in the late 1970s. With his graffiti he criticized the monotonous, inhospitable cityscape of Zurich, but also the politics and the handling of the environment.  In her sensitive portrait, director Nathalie David shows Harald Naegeli's multifaceted personality - as a visionary, argumentative artist, rebel, philosopher and astute, humorous person."
4,False,659954,Azor,19.888,False,,"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization."
5,False,370172,No Time to Die,466.822,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
6,False,542178,The French Dispatch,70.458,False,,"The staff of a European publication decides to publish a memorial edition highlighting the three best stories from the last decade: an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef."
7,False,642208,Supernova,28.827,False,,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness."
8,False,793937,Die Schule der magischen Tiere,4.822,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator."
9,False,522478,Peter Rabbit 2: The Runaway,244.316,False,The garden was just the beginning.,"Bea, Thomas, and the rabbits have created a makeshift family, but despite his best efforts, Peter can’t seem to shake his mischievous reputation. Adventuring out of the garden, Peter finds himself in a world where his mischief is appreciated, but when his family risks everything to come looking for him, Peter must figure out what kind of bunny he wants to be."
10,False,748787,Schachnovelle,4.367,False,He turned resistance into a game,"1938. While the Nazi troops march into Vienna, the lawyer Josef Bartok hastily tries to escape to the USA with his wife but is arrested by the Gestapo. Bartok remains steadfast and refuses to cooperate with the Gestapo that requires confidential information from him. Thrown into solitary confinement, Bartok is psychologically tormented for months and begins to weaken. However, when he steals an old book about chess it sets him on course to overcome the mental suffering inflicted upon him, until it becomes a dangerous obsession."
11,False,587807,Tom & Jerry,262.243,False,Best of enemies. Worst of friends.,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse."
12,False,581734,Nomadland,34.467,False,See you down the road.,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad."
13,False,459151,The Boss Baby: Family Business,945.642,False,Playtime is over.,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.
14,False,749274,Cry Macho,96.456,False,A story of being lost... and found.,"Mike Milo, a one-time rodeo star and washed-up horse breeder, takes a job from an ex-boss to bring the man's young son home from Mexico."
15,False,617653,The Last Duel,170.492,False,The true story of a woman who defied a nation and made history.,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.
16,False,580489,Venom: Let There Be Carnage,7158.512,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady."
17,False,795812,Herr Bachmann und seine Klasse,0.793,False,,Mr. Bachmann And His Class explores the close bond between an elementary school teacher and his students. His unconventional methods clash with the complex social and cultural realities of the provincial German industrial town they live in.
18,False,649137,Billie,4.811,False,"She sang the truth, she paid the price","‘Lady Day’ was one of the greatest jazz vocalists the world ever heard. In 1971, journalist Linda Lipnack Kuehl set out to write the definitive biography of Billie Holiday. Before her mysterious death in 1978, Lipnack Kuehl had taped over 200 hours of interviews. The tapes have never been heard. Now they form the basis of an atmospheric, multi-layered documentary that captures the many complex facets of a proud black woman, violent drug addict, loyal friend, vindictive lover and unforgettable singer of ‘God Bless The Child’, ‘Saddest Tale’ and the haunting ‘Strange Fruit’."
19,False,566525,Shang-Chi and the Legend of the Ten Rings,1034.648,False,You can't outrun your destiny.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.
20,False,630240,Titane,110.158,False,,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years."
21,False,438631,Dune,3892.202,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
22,False,379686,Space Jam: A New Legacy,717.089,False,Welcome to the Jam!,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life."
23,False,842424,Fly,5.434,False,,"Bex has caused a serious accident and is therefore in prison. In order to rehabilitate the inmates, the prison offers them a dance class led by Ava. But Bex doesn't want to take part. However, she has no other choice and soon she feels drawn to Jay in particular and they realize that they have much more in common than this dance class. The cohesion within the prisoners of rehabilitation grows, but when Bex's past catches up with them again, everything is in danger."
24,False,783459,Nachbarn,0.696,False,,"With a fine sense of humor and satire, the film tells of a childhood, which, between dictatorship and dark drama, also has its light moments. How much friendship, love and solidarity are possible in times of repression and despotism?"
25,False,700066,"Chien pourri, la vie à Paris",1.367,False,,
26,False,580175,Druk,26.14,False,,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.
27,False,871530,"Es ist nur eine Phase, Hase",5.918,False,,"The successful writer Paul and the sought-after voice actress Emilia were always considered to be the absolute dream couple by friends: Harmonious, happy, successful, with three charming children named Bo, Marie and Fe. But now, in their late 40s, their relationship is threatened by a crisis."
28,False,283366,Miss Peregrine's Home for Peculiar Children,58.033,False,Stay peculiar,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.
29,False,846862,Monte Verità,1.4,False,The Ecstasy of Freedom,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography."
30,False,37793,Ghosts,7.366,False,Are you scared yet?,"The story of a scary Maestro with supernatural powers, who is being forced out of a small town by its mayor. Included are a series of dance routines performed by Michael Jackson and his ""family"" of ghouls. Every song from the film was taken from Michael Jackson's HIStory and Blood on the Dance Floor albums."
31,False,600354,The Father,31.132,False,,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
32,False,835433,Bekenntnisse des Hochstaplers Felix Krull,3.454,False,,
33,False,646207,The Ice Road,120.4,False,This mission is on thin ice.,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners."
34,False,683641,Je suis Karl,32.334,False,,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
35,False,416051,D'après une histoire vraie,8.665,False,,"Delphine is the author of an autobiographical novel that has become a bestseller. Exhausted by the promotional tour, just when she feels out of place, paralyzed by the idea of having to start writing again, she meets Elle, a young, attractive, intelligent, intuitive woman who seems to understand her better than anyone."
36,False,266285,The Salvation,38.062,False,Bad men will bleed.,"In 1870s America, a peaceful American settler kills his family's murderer which unleashes the fury of a notorious gang leader. His cowardly fellow townspeople then betray him, forcing him to hunt down the outlaws alone."
37,False,729679,Toma,78.934,False,,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and unique way he was singing them, but also as a bohemian, both in his behavior and his soul."
38,False,744275,After We Fell,1274.877,False,based on the novel by,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family."
39,False,610253,Halloween Kills,3654.224,False,Evil dies tonight.,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all."
40,False,43389,Luci del varietà,4.65,False,,"In Italy, Checco Dal Monte manages a troupe of traveling performers with plenty of heart but minimal talent. At a small town engagement, he encounters the starry-eyed, gorgeous Lily Antonelli, and hires her as a dancer on the show. Vivacious Lily quickly sells out crowds and earns the resentment of Checco's mistress, Melina Amour, but the fledgling performer has far bigger ambitions and soon sets her sights on a higher-profile role."
41,False,189,Sin City: A Dame to Kill For,125.909,False,There is no justice without sin.,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.
42,False,660958,La Nuit des rois,3.675,False,A film about resistance and the power of words in the face of violence.,"A young man is sent to ""La Maca,"" a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new ""Roman"" and must tell a story to the other prisoners. Learning what fate awaits him, he begins to narrate the mystical life of the legendary outlaw named ""Zama King"" and has no choice but to make his story last until dawn."
43,False,575446,Nuevo orden,23.609,False,,"In the near future, a popular uprising in Mexico City interrupts a wedding held at the home of a wealthy family. After the riots have been quashed, they discover the bride has gone missing and plea with the military to help locate her."
