,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
0,Jazz on a Summer's Day (Restored),,16Y.,E/gf,10:50,2021-10-26,Kosmos,Zürich,2021-10-26 10:50:00,Kosmos Zürich,47.3799807,8.5290807
1,Tiger und Büffel,Documentary,12Y.,O/g,11:50,2021-10-26,Houdini,Zürich,2021-10-26 11:50:00,Houdini Zürich,47.3746074,8.5203069
2,"Quo Vadis, Aida?","Drama, War",14/12Y.,O/gf,12:00,2021-10-26,Houdini,Zürich,2021-10-26 12:00:00,Houdini Zürich,47.3746074,8.5203069
3,The Story of My Wife,"Drama, Romance",12Y.,E/g,12:00,2021-10-26,Houdini,Zürich,2021-10-26 12:00:00,Houdini Zürich,47.3746074,8.5203069
4,Wild,Documentary,12Y.,O/g,12:10,2021-10-26,Houdini,Zürich,2021-10-26 12:10:00,Houdini Zürich,47.3746074,8.5203069
5,Harald Naegeli - Der Sprayer von Zürich,Documentary,12Y.,CH/g,12:15,2021-10-26,Arthouse Le Paris,Zürich,2021-10-26 12:15:00,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
6,Azor,,16Y.,O/ge,12:20,2021-10-26,Houdini,Zürich,2021-10-26 12:20:00,Houdini Zürich,47.3746074,8.5203069
7,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:00,2021-10-26,Kosmos,Zürich,2021-10-26 13:00:00,Kosmos Zürich,47.3799807,8.5290807
8,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:30,2021-10-26,Arena Cinemas,Zürich,2021-10-26 13:30:00,Arena Cinemas Zürich,47.3584599,8.5229214
9,No Time to Die,"Action, Adventure, Thriller",14Y.,G,13:50,2021-10-26,Arena Cinemas,Zürich,2021-10-26 13:50:00,Arena Cinemas Zürich,47.3584599,8.5229214
10,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:45,2021-10-26,blue Cinema Corso,Zürich,2021-10-26 13:45:00,blue Cinema Corso Zürich,47.3663426,8.546733999999999
11,Bigger Than Us,Documentary,10Y.,E/g,13:10,2021-10-26,Kosmos,Zürich,2021-10-26 13:10:00,Kosmos Zürich,47.3799807,8.5290807
12,"The French Dispatch of the Liberty, Kansas Evening Sun","Comedy, Drama, Romance",14/12Y.,E/gf,13:10,2021-10-26,Kosmos,Zürich,2021-10-26 13:10:00,Kosmos Zürich,47.3799807,8.5290807
13,Supernova,Drama,14Y.,E/gf,13:20,2021-10-26,Kosmos,Zürich,2021-10-26 13:20:00,Kosmos Zürich,47.3799807,8.5290807
14,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,13:30,2021-10-26,Arena Cinemas,Zürich,2021-10-26 13:30:00,Arena Cinemas Zürich,47.3584599,8.5229214
15,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:30,2021-10-26,Arena Cinemas,Zürich,2021-10-26 13:30:00,Arena Cinemas Zürich,47.3584599,8.5229214
16,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:45,2021-10-26,blue Cinema Capitol,Zürich,2021-10-26 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
17,Ostwind 5 - Der grosse Orkan,Children,6Y.,G,13:30,2021-10-26,Arena Cinemas,Zürich,2021-10-26 13:30:00,Arena Cinemas Zürich,47.3584599,8.5229214
18,Paw Patrol: The Movie,"Animation, Children",6/4Y.,G,13:30,2021-10-26,Arena Cinemas,Zürich,2021-10-26 13:30:00,Arena Cinemas Zürich,47.3584599,8.5229214
19,Paw Patrol: The Movie,"Animation, Children",6/4Y.,G,13:30,2021-10-26,Stüssihof,Zürich,2021-10-26 13:30:00,Stüssihof Zürich,47.3723239,8.5437701
