,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
163,The Quest for Tonewood,Documentary,12/8Y.,E/gf,18:20,2021-12-23,Arthouse Piccadilly,Zürich,2021-12-23 18:20:00,Arthouse Piccadilly Zürich,47.365993,8.5489046
164,Tove,Drama,12Y.,O/gf,18:20,2021-12-23,Houdini,Zürich,2021-12-23 18:20:00,Houdini Zürich,47.3746074,8.5203069
165,After Love,Drama,14Y.,G,18:25,2021-12-23,Arena Cinemas,Zürich,2021-12-23 18:25:00,Arena Cinemas Zürich,47.3584227,8.5226872
166,Encanto,"Adventure, Animation, Children, Comedy, Fantasy, Music",8/3Y.,E/gf,18:25,2021-12-23,Arena Cinemas,Zürich,2021-12-23 18:25:00,Arena Cinemas Zürich,47.3584227,8.5226872
167,Encanto,"Adventure, Animation, Children, Comedy, Fantasy, Music",8/3Y.,G,18:25,2021-12-23,Arena Cinemas,Zürich,2021-12-23 18:25:00,Arena Cinemas Zürich,47.3584227,8.5226872
168,Clifford der grosse rote Hund,"Animation, Children, Comedy",6/3Y.,G,18:30,2021-12-23,Arena Cinemas,Zürich,2021-12-23 18:30:00,Arena Cinemas Zürich,47.3584227,8.5226872
169,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/g,18:30,2021-12-23,Stüssihof,Zürich,2021-12-23 18:30:00,Stüssihof Zürich,47.3723239,8.5437701
170,Rifkin's Festival,"Comedy, Romance",14/3Y.,E/gf,18:35,2021-12-23,Arena Cinemas,Zürich,2021-12-23 18:35:00,Arena Cinemas Zürich,47.3584227,8.5226872
171,Der Wolf und der Löwe,"Adventure, Children",6Y.,G,18:40,2021-12-23,Arena Cinemas,Zürich,2021-12-23 18:40:00,Arena Cinemas Zürich,47.3584227,8.5226872
172,Hive,Drama,12Y.,O/ge,18:50,2021-12-23,Riffraff,Zürich,2021-12-23 18:50:00,Riffraff Zürich,47.3827835,8.5290454
173,Gunpowder Milkshake,"Action, Adventure, Crime, Thriller",16Y.,E/g,19:00,2021-12-23,Stüssihof,Zürich,2021-12-23 19:00:00,Stüssihof Zürich,47.3723239,8.5437701
174,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,19:30,2021-12-23,ABC,Bülach,2021-12-23 19:30:00,ABC Bülach,,
175,Aline,"Comedy, Drama, Music",10/8Y.,G,19:45,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 19:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
176,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,19:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 19:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
177,House of Gucci,"Crime, Drama, Thriller",14/12Y.,E/gf,19:45,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 19:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
178,Madres paralelas,Drama,14/12Y.,S/pgf,19:45,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 19:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
179,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,19:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 19:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
180,No Time to Die,"Action, Adventure, Thriller",14Y.,G,19:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 19:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
181,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,19:45,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 19:45:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
182,House of Gucci,"Crime, Drama, Thriller",12Y.,G,20:00,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:00:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
183,House of Gucci,"Crime, Drama, Thriller",12Y.,E/gf,20:00,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:00:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
184,House of Gucci,"Crime, Drama, Thriller",12Y.,E/gf,20:10,2021-12-23,Kosmos,Zürich,2021-12-23 20:10:00,Kosmos Zürich,47.3799807,8.5290807
185,House of Gucci,"Crime, Drama, Thriller",12Y.,E/gf,20:15,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 20:15:00,blue Cinema Corso Zürich,47.3663426,8.546734
186,House of Gucci,"Crime, Drama, Thriller",12Y.,E/gf,20:30,2021-12-23,Houdini,Zürich,2021-12-23 20:30:00,Houdini Zürich,47.3746074,8.5203069
187,House of Gucci,"Crime, Drama, Thriller",12Y.,G,20:30,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:30:00,Arena Cinemas Zürich,47.3584227,8.5226872
188,House of Gucci,"Crime, Drama, Thriller",12Y.,E/gf,20:40,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:40:00,Arena Cinemas Zürich,47.3584227,8.5226872
189,House of Gucci,"Crime, Drama, Thriller",12Y.,G,20:30,2021-12-23,Kinocenter,Chur,2021-12-23 20:30:00,Kinocenter Chur,,
190,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,G,20:00,2021-12-23,Apollo,Chur,2021-12-23 20:00:00,Apollo Chur,,
191,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,20:00,2021-12-23,blue Cinema Metropol,Zürich,2021-12-23 20:00:00,blue Cinema Metropol Zürich,47.3737637,8.5307381
192,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,G,20:15,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:15:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
193,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,20:15,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 20:15:00,blue Cinema Corso Zürich,47.3663426,8.546734
194,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,G,20:15,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:15:00,Arena Cinemas Zürich,47.3584227,8.5226872
195,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,20:25,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:25:00,Arena Cinemas Zürich,47.3584227,8.5226872
196,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,E/gf,20:30,2021-12-23,Kosmos,Zürich,2021-12-23 20:30:00,Kosmos Zürich,47.3799807,8.5290807
197,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:00,2021-12-23,blue Cinema Corso,Zürich,2021-12-23 20:00:00,blue Cinema Corso Zürich,47.3663426,8.546734
198,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,20:20,2021-12-23,Houdini,Zürich,2021-12-23 20:20:00,Houdini Zürich,47.3746074,8.5203069
199,No Time to Die,"Action, Adventure, Thriller",14Y.,G,20:30,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:30:00,Arena Cinemas Zürich,47.3584227,8.5226872
200,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,20:00,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:00:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
201,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,20:15,2021-12-23,blue Cinema Abaton,Zürich,2021-12-23 20:15:00,blue Cinema Abaton Zürich,47.3892435,8.5213589
