,adult,id,original_title,popularity,video,tagline,overview,genres_string
0,False,655738,a-ha: The Movie,4.382,False,The story of three young boys who chose to follow the impossible dream.,"When ""Take On Me"" reached nr 1 on Billboard in the US in 1985, the dream came true. Or did it? The band was not prepared for what the success could bring, including tension between the three band members.",Documentary Music
1,False,10819,Wesele,4.767,False,This is a story about love and money… but actually about love for money,"Wojnar is a wealthy man who is marrying off his beautiful daughter Kasia, in a small town in present day Poland. Wojnar had to bribe the groom with a fancy car, since Kasia was pregnant by another man. At the end of the ceremony, the car is delivered by a gangster, who immediately demands the promised money and the deed to land from Kasia's grandfather. Unfortunately grandpa is unwilling to let go of the land. Meanwhile each of the workers at the reception demand to be paid, so Wojnar, who is very reluctant to part with his money, tries to haggle and bribe his way out of all the situations.",Comedy Drama
2,False,459151,The Boss Baby: Family Business,968.085,False,Playtime is over.,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,Animation Comedy Adventure Family
3,False,662931,Piedra Sola,1.4,False,,"The hamlet of Condor lies in the Puna grasslands of the northern highlands of Argentina, at some four thousand metres above sea level, close to the border with Bolivia. Here, a lama herder lives with his family. He and his son sell lama meat and wool in the closest city, which is still a long trip on foot and by bus. When the herd is threatened by a puma, the herder goes in search of the predator. According to local custom, he has to make an offering to the beast.",Documentary Drama
4,False,842349,Bigger Than Us,1.415,False,,,Documentary
5,False,642208,Supernova,28.346,False,,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness.",Drama Romance
6,False,846980,Harald Naegeli - Der Sprayer von Zürich,0.645,False,,"The Swiss artist Harald Naegeli became known around the world as the “Sprayer of Zurich” in the late 1970s. With his graffiti he criticized the monotonous, inhospitable cityscape of Zurich, but also the politics and the handling of the environment.  In her sensitive portrait, director Nathalie David shows Harald Naegeli's multifaceted personality - as a visionary, argumentative artist, rebel, philosopher and astute, humorous person.",Documentary
7,False,655379,Die Welt wird eine andere sein,1.984,False,,"Asli and Saeed fall in love in the mid-1990s. Although Asli’s mother is against their relationship, they secretly get married. Then he disappears. A sensitive love story that recounts how Saeed changes Asli’s life – before the entire world is shaken.",Drama
8,False,24230,Nemesis,6.195,False,In the future... it pays to be more than human.,"In the future, chaos is rampant as 'information terrorists' threaten to destroy order in society. Alex is a part-man, part-machine LAPD cop who is the best at what he does. When one of the terrorists calls him a machine, Alex questions his humanity and decides to leave the force. His final assignment is to apprehend an old colleague who has stolen some data. However, there is more than meets the eye and Alex must question his allegiance.",Science Fiction Thriller Action
9,False,228970,Wild,18.04,False,,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,Drama
10,False,649137,Billie,3.383,False,"She sang the truth, she paid the price","‘Lady Day’ was one of the greatest jazz vocalists the world ever heard. In 1971, journalist Linda Lipnack Kuehl set out to write the definitive biography of Billie Holiday. Before her mysterious death in 1978, Lipnack Kuehl had taped over 200 hours of interviews. The tapes have never been heard. Now they form the basis of an atmospheric, multi-layered documentary that captures the many complex facets of a proud black woman, violent drug addict, loyal friend, vindictive lover and unforgettable singer of ‘God Bless The Child’, ‘Saddest Tale’ and the haunting ‘Strange Fruit’.",Documentary Music
11,False,659954,Azor,197.328,False,,"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization.",Drama
12,False,37793,Ghosts,6.51,False,Are you scared yet?,"In the town of Normal Valley, an eccentric magician named Maestro entertains the local children every day in his spooky mansion. One stormy night, the town's mayor leads a group of angry citizens to the mansion in an attempt to run Maestro out of town.",Music Horror
13,False,728118,"Quo Vadis, Aida?",9.589,False,,"Bosnia, July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take?",Drama War
14,False,653762,The Truffle Hunters,7.624,False,,"In the secret forests of Northern Italy, a dwindling group of joyful old men and their faithful dogs search for the world’s most expensive ingredient, the white Alba truffle. Their stories form a real-life fairy tale that celebrates human passion in a fragile land that seems forgotten in time.",Documentary
15,False,783459,Nachbarn,0.954,False,,"With a fine sense of humor and satire, the film tells of a childhood, which, between dictatorship and dark drama, also has its light moments. How much friendship, love and solidarity are possible in times of repression and despotism?",Drama
16,False,748787,Schachnovelle,3.152,False,He turned resistance into a game,"1938. While the Nazi troops march into Vienna, the lawyer Josef Bartok hastily tries to escape to the USA with his wife but is arrested by the Gestapo. Bartok remains steadfast and refuses to cooperate with the Gestapo that requires confidential information from him. Thrown into solitary confinement, Bartok is psychologically tormented for months and begins to weaken. However, when he steals an old book about chess it sets him on course to overcome the mental suffering inflicted upon him, until it becomes a dangerous obsession.",Drama
17,False,846862,Monte Verità,1.104,False,The Ecstasy of Freedom,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography.",History Drama
18,False,580489,Venom: Let There Be Carnage,6093.846,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Science Fiction Action
19,False,524434,Eternals,2836.918,False,In the beginning...,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",Action Adventure Science Fiction Fantasy
20,False,542178,The French Dispatch,62.152,False,,"The staff of a European publication decides to publish a memorial edition highlighting the three best stories from the last decade: an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",Comedy Drama Romance
21,False,793937,Die Schule der magischen Tiere,4.572,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator.",Adventure Family
22,False,370172,No Time to Die,467.188,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Adventure Action Thriller
23,False,664698,Contra,8.59,False,,"With his uncouth manner, Professor Pohl doesn’t enjoy the best reputation at the university where he works. To make matters worse, he makes a racist remark when student Naima arrives late for his lecture. Unfortunately for him, a video of his verbal outburst spreads like wildfire on the Internet, and the university’s president, Lambrecht, is called to deal with the incident. But Pohl is not dismissed. Instead, he is put to the task of helping Naima prepare for an important debating competition. The lecturer and the student could not be more different, yet they are thrown together to work as a team.",
24,False,522478,Peter Rabbit 2: The Runaway,252.824,False,The garden was just the beginning.,"Bea, Thomas, and the rabbits have created a makeshift family, but despite his best efforts, Peter can’t seem to shake his mischievous reputation. Adventuring out of the garden, Peter finds himself in a world where his mischief is appreciated, but when his family risks everything to come looking for him, Peter must figure out what kind of bunny he wants to be.",Family Comedy Adventure Animation Fantasy
25,False,482321,Ron's Gone Wrong,383.086,False,Best Friend Forever* (*battery life may vary),"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",Animation Science Fiction Family Comedy
26,False,587807,Tom & Jerry,299.246,False,Best of enemies. Worst of friends.,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",Comedy Family Animation
27,False,438631,Dune,3805.604,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Action Adventure Science Fiction
28,False,846964,Und morgen seid ihr tot,3.236,False,,In 2011 the young married Swiss couple Daniela Widmer and David Och got kidnapped while being on a long trip along the old Silk Road in Pakistan. They were hand over to the Taliban and were held as hostages for 8 months under the most precarious conditions.,Drama Thriller
29,False,600354,The Father,33.578,False,,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Drama
30,False,630240,Titane,102.718,False,,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",Drama Thriller Horror
31,False,795812,Herr Bachmann und seine Klasse,1.4,False,,Mr. Bachmann And His Class explores the close bond between an elementary school teacher and his students. His unconventional methods clash with the complex social and cultural realities of the provincial German industrial town they live in.,Documentary
32,False,12630,Pippi Longstocking,3.832,False,Her name is about all you can handle.,"Pippi is a little girl who lives alone in her house, while her father is sailing the seas. With Pippi we meet her horse, her monkey and her two friends Tommy and Anika. Together they go on many journeys through the neighborhood.",Adventure Animation Comedy Family
33,False,379686,Space Jam: A New Legacy,659.352,False,Welcome to the Jam!,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",Animation Comedy Family Science Fiction
34,False,788238,Burning Memories,0.662,False,,,Documentary
35,False,512195,Red Notice,353.437,False,Pro and cons.,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",Action Comedy Crime Thriller
36,False,566525,Shang-Chi and the Legend of the Ten Rings,1190.928,False,You can't outrun your destiny.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Action Adventure Fantasy
37,False,871530,"Es ist nur eine Phase, Hase",2.269,False,,"The successful writer Paul and the sought-after voice actress Emilia were always considered to be the absolute dream couple by friends: Harmonious, happy, successful, with three charming children named Bo, Marie and Fe. But now, in their late 40s, their relationship is threatened by a crisis.",Comedy
38,False,700066,"Chien pourri, la vie à Paris",1.4,False,,"Once upon a time there was a Parisian dog, naive and passionate, called Chien Pourri (rotten dog). With Chaplapla, his faithful gutter companion, Chien Pourri walks the streets of Paris, truffles blowing in the wind. No matter what disasters it causes, it always gets back on its feet! So much so that other dogs are starting to find it suspicious ... A program of five short films to follow the crazy adventures of Chien Pourri and his friends and introduce the poetry of Paris to the little ones! By the Panic in the Village and the Grand Méchant Renard (Big Bad Fox) teams.",Animation
39,False,324284,Lamb,29.133,False,Innocence walks a fine line.,"Lamb, based on the novel by Bonnie Nadzam, traces the self-discovery of David Lamb in the weeks following the disintegration of his marriage and the death of his father. Hoping to regain some faith in his own goodness, he turns his attention to Tommie, an awkward and unpopular eleven-year-old girl. Lamb is convinced that he can help her avoid a destiny of apathy and emptiness, and takes Tommie for a road trip from Chicago to the Rockies, planning to initiate her into the beauty of the mountain wilderness. The journey shakes them in ways neither expects.",Drama
40,False,749004,Petite maman,7.382,False,,"Eight-year-old Nelly has just lost her beloved grandmother and is helping her parents clean out her mother’s childhood home. She explores the house and the surrounding woods where her mum, Marion, used to play and where she built the treehouse Nelly has heard so much about. One day her mother suddenly leaves. That is when Nelly meets a girl of her own age in the woods, building a treehouse.",Drama Fantasy
41,False,581734,Nomadland,37.008,False,See you down the road.,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",Drama
42,False,502536,Babylon 2,0.852,False,,"The first film about second-generation Swiss immigrants: A Turkish ice hockey player explains why, in Switzerland, he could only fall in love with an Italian. A young Italian woman explains why she prefers to rap in English. A hip-hop artist with Hispanic origins fights for his political rights and the director reminisces on how, despite his Arabic roots, he's been persecuted as a Jew. Babylon 2 reflects the rise of a new urban culture in Switzerland, which is instigated by the second generation of immigrants and the help of electronic media.",Documentary
43,False,617653,The Last Duel,126.474,False,The true story of a woman who defied a nation and made history.,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,Action Drama History Thriller
