,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
0,a-ha: The Movie,"Documentary, Music",14/10Y.,O/g,10:40,2021-11-07,Kosmos,Zürich,2021-11-07 10:40:00,Kosmos Zürich,47.3799807,8.5290807
1,Wesele,Drama,16Y.,O/e,10:40,2021-11-07,Riffraff,Zürich,2021-11-07 10:40:00,Riffraff Zürich,47.3827835,8.5290454
2,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,10:45,2021-11-07,Apollo,Chur,2021-11-07 10:45:00,Apollo Chur,46.8550628,9.524390200000001
3,Piedra Sola,"Documentary, Drama",16Y.,O,10:45,2021-11-07,Kinocenter,Chur,2021-11-07 10:45:00,Kinocenter Chur,46.8520733,9.533791599999999
4,Bigger Than Us,Documentary,10Y.,E/g,10:50,2021-11-07,Kosmos,Zürich,2021-11-07 10:50:00,Kosmos Zürich,47.3799807,8.5290807
5,Jazz on a Summer's Day (Restored),,16Y.,E/gf,10:50,2021-11-07,Kosmos,Zürich,2021-11-07 10:50:00,Kosmos Zürich,47.3799807,8.5290807
6,Paw Patrol: The Movie,"Animation, Children",6Y.,G,11:00,2021-11-07,Kinocenter,Chur,2021-11-07 11:00:00,Kinocenter Chur,46.8520733,9.533791599999999
7,Sooryavanshi,"Action, Crime, Drama",16Y.,O/e,11:00,2021-11-07,Riffraff,Zürich,2021-11-07 11:00:00,Riffraff Zürich,47.3827835,8.5290454
8,Supernova,Drama,14Y.,E/gf,11:10,2021-11-07,Kosmos,Zürich,2021-11-07 11:10:00,Kosmos Zürich,47.3799807,8.5290807
9,Harald Naegeli - Der Sprayer von Zürich,Documentary,12Y.,O/g,11:15,2021-11-07,Arthouse Piccadilly,Zürich,2021-11-07 11:15:00,Arthouse Piccadilly Zürich,47.365993,8.5489046
10,Die Welt wird eine andere sein,,16/12Y.,G,11:30,2021-11-07,Kosmos,Zürich,2021-11-07 11:30:00,Kosmos Zürich,47.3799807,8.5290807
11,Die Pazifistin - Gertrud Woker: Eine vergessene Heldin,Documentary,12Y.,G,11:40,2021-11-07,Arthouse Movie,Zürich,2021-11-07 11:40:00,Arthouse Movie Zürich,47.3707036,8.5437007
12,Nemesis,Documentary,14/8Y.,G/e,11:40,2021-11-07,Riffraff,Zürich,2021-11-07 11:40:00,Riffraff Zürich,47.3827835,8.5290454
13,Tiger und Büffel,Documentary,12Y.,O/g,11:40,2021-11-07,Houdini,Zürich,2021-11-07 11:40:00,Houdini Zürich,47.3746074,8.5203069
14,Wild,Documentary,12Y.,O/g,11:40,2021-11-07,Houdini,Zürich,2021-11-07 11:40:00,Houdini Zürich,47.3746074,8.5203069
15,Billie,"Documentary, Music",16/10Y.,E/g,11:45,2021-11-07,Arthouse Piccadilly,Zürich,2021-11-07 11:45:00,Arthouse Piccadilly Zürich,47.365993,8.5489046
16,Azor,,16Y.,O/ge,11:50,2021-11-07,Houdini,Zürich,2021-11-07 11:50:00,Houdini Zürich,47.3746074,8.5203069
17,Ghosts,Drama,16Y.,O/g,12:00,2021-11-07,Riffraff,Zürich,2021-11-07 12:00:00,Riffraff Zürich,47.3827835,8.5290454
18,Piedra Sola,"Documentary, Drama",16Y.,O/gf,12:00,2021-11-07,Xenix,Zürich,2021-11-07 12:00:00,Xenix Zürich,47.37528529999999,8.5261529
19,"Quo Vadis, Aida?","Drama, War",14/12Y.,O/gf,12:00,2021-11-07,Houdini,Zürich,2021-11-07 12:00:00,Houdini Zürich,47.3746074,8.5203069
20,The Story of My Wife,"Drama, Romance",12Y.,E/g,12:00,2021-11-07,Houdini,Zürich,2021-11-07 12:00:00,Houdini Zürich,47.3746074,8.5203069
21,The Truffle Hunters,Documentary,10/6Y.,I/gf,12:15,2021-11-07,Arthouse Le Paris,Zürich,2021-11-07 12:15:00,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
22,Nachbarn,Drama,12Y.,O/gf,12:20,2021-11-07,Arthouse Movie,Zürich,2021-11-07 12:20:00,Arthouse Movie Zürich,47.3707036,8.5437007
23,Schachnovelle,Drama,12Y.,G,12:20,2021-11-07,Kosmos,Zürich,2021-11-07 12:20:00,Kosmos Zürich,47.3799807,8.5290807
24,Monte Verità,Drama,14Y.,G,12:40,2021-11-07,Arthouse Alba,Zürich,2021-11-07 12:40:00,Arthouse Alba Zürich,47.3761085,8.544658199999999
25,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,12:45,2021-11-07,Kinocenter,Chur,2021-11-07 12:45:00,Kinocenter Chur,46.8520733,9.533791599999999
26,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,13:00,2021-11-07,Kinocenter,Chur,2021-11-07 13:00:00,Kinocenter Chur,46.8520733,9.533791599999999
27,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,13:30,2021-11-07,Kosmos,Zürich,2021-11-07 13:30:00,Kosmos Zürich,47.3799807,8.5290807
28,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,13:40,2021-11-07,Arena Cinemas,Zürich,2021-11-07 13:40:00,Arena Cinemas Zürich,47.3584227,8.5226872
29,Eternals,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,13:50,2021-11-07,Arena Cinemas,Zürich,2021-11-07 13:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
30,Die Welt wird eine andere sein,,16/12Y.,G,13:10,2021-11-07,Kosmos,Zürich,2021-11-07 13:10:00,Kosmos Zürich,47.3799807,8.5290807
31,"Hilfe, ich habe meine Freunde geschrumpft",Children,6/4Y.,G,13:10,2021-11-07,Kosmos,Zürich,2021-11-07 13:10:00,Kosmos Zürich,47.3799807,8.5290807
32,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,13:10,2021-11-07,Kosmos,Zürich,2021-11-07 13:10:00,Kosmos Zürich,47.3799807,8.5290807
33,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:15,2021-11-07,Apollo,Chur,2021-11-07 13:15:00,Apollo Chur,46.8550628,9.524390200000001
34,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:30,2021-11-07,Arena Cinemas,Zürich,2021-11-07 13:30:00,Arena Cinemas Zürich,47.3584227,8.5226872
35,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:45,2021-11-07,blue Cinema Capitol,Zürich,2021-11-07 13:45:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
36,No Time to Die,"Action, Adventure, Thriller",14Y.,G,13:15,2021-11-07,Kinocenter,Chur,2021-11-07 13:15:00,Kinocenter Chur,46.8520733,9.533791599999999
37,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:50,2021-11-07,Arena Cinemas,Zürich,2021-11-07 13:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
38,No Time to Die,"Action, Adventure, Thriller",14Y.,G,13:50,2021-11-07,Arena Cinemas,Zürich,2021-11-07 13:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
